"","Cow Number","Mutli lact","Tx","CM","CMCode","Daysatrisk","Age","Parity","DIM at enrolment","Enrolment date","Exit date","BirthDate","CalveDate","Clinical case date","Pathogen","CMDIM","calveposten","dayin","dayout"
"181","721",NA,0,0,0,89,103.717105263158,6,196,2016-01-16,2016-04-14,2007-05-30,2015-07-04,NA,NA,NA,NA,1,90
"182","722",NA,1,0,0,89,103.684210526316,4,239,2016-01-16,2016-04-14,2007-05-31,2015-05-22,NA,NA,NA,NA,1,90
"183","728",NA,1,0,0,89,103.157894736842,7,26,2016-01-16,2016-04-14,2007-06-16,2015-12-21,NA,NA,NA,NA,1,90
"184","739",NA,0,0,0,89,101.085526315789,6,251,2016-01-16,2016-04-14,2007-08-18,2015-05-10,NA,NA,NA,NA,1,90
"185","742",NA,1,0,0,27,100.921052631579,4,347,2016-01-16,2016-02-12,2007-08-23,2015-02-03,NA,NA,NA,NA,1,28
"186","747",NA,0,0,0,68,100.493421052632,7,2,2016-02-04,2016-04-14,2007-09-26,2016-02-04,NA,NA,NA,2016-02-04,20,90
"187","749",NA,0,0,0,42,100,5,2,2016-03-01,2016-04-14,2007-11-06,2016-03-01,NA,NA,NA,2016-03-01,46,90
"188","757",NA,0,0,0,27,96.3486842105263,6,215,2016-01-16,2016-02-12,2008-01-09,2015-06-15,NA,NA,NA,NA,1,28
"189","766",NA,1,0,0,89,96.6118421052632,6,201,2016-01-16,2016-04-14,2008-01-01,2015-06-29,NA,NA,NA,NA,1,90
"190","768",NA,1,0,0,65,94.6381578947368,6,276,2016-01-16,2016-03-21,2008-03-01,2015-04-15,NA,NA,NA,NA,1,66
"191","4006",NA,1,1,NA,38,25.8223684210526,1,2,2016-03-05,2016-03-07,2014-01-12,2016-03-05,2016-03-07,NA,2,2016-03-05,50,52
"192","1185",1,0,0,0,41,52.5328947368421,2,328,2016-01-16,2016-02-26,2011-09-02,2015-02-22,NA,NA,NA,NA,1,42
"193","802",NA,1,0,0,65,66.6118421052632,3,323,2016-01-16,2016-03-21,2010-07-01,2015-02-27,NA,NA,NA,NA,1,66
"194","803",NA,0,0,0,20,92.7631578947368,5,320,2016-01-16,2016-02-05,2008-04-27,2015-03-02,NA,NA,NA,NA,1,21
"195","805",NA,0,0,0,89,92.6315789473684,6,155,2016-01-16,2016-04-14,2008-05-01,2015-08-14,NA,NA,NA,NA,1,90
"196","808",NA,1,0,0,27,92.5328947368421,6,281,2016-01-16,2016-02-12,2008-05-04,2015-04-10,NA,NA,NA,NA,1,28
"197","817",NA,0,0,0,65,92.2368421052632,6,209,2016-01-16,2016-03-21,2008-05-13,2015-06-21,NA,NA,NA,NA,1,66
"198","818",NA,1,0,0,76,92.1381578947368,5,219,2016-01-16,2016-04-01,2008-05-16,2015-06-11,NA,NA,NA,NA,1,77
"199","821",NA,0,0,0,65,92.0065789473684,5,294,2016-01-16,2016-03-21,2008-05-20,2015-03-28,NA,NA,NA,NA,1,66
"200","832",NA,1,0,0,83,91.0526315789474,5,222,2016-01-16,2016-04-08,2008-06-18,2015-06-08,NA,NA,NA,NA,1,84
"201","841",NA,0,0,0,55,90.0328947368421,5,306,2016-01-16,2016-03-11,2008-07-19,2015-03-16,NA,NA,NA,NA,1,56
"202","843",NA,0,0,0,40,91.5460526315789,5,2,2016-03-03,2016-04-14,2008-07-22,2016-03-03,NA,NA,NA,2016-03-03,48,90
"203","847",NA,0,0,0,63,89.6052631578947,6,2,2016-02-09,2016-04-14,2008-08-27,2016-02-09,NA,NA,NA,2016-02-09,25,90
"204","853",NA,0,0,0,63,67.4671052631579,4,2,2016-02-09,2016-04-14,2010-07-01,2016-02-09,NA,NA,NA,2016-02-09,25,90
"205","855",NA,0,0,0,55,87.9605263157895,5,272,2016-01-16,2016-03-11,2008-09-20,2015-04-19,NA,NA,NA,NA,1,56
"206","857",NA,0,0,0,12,87.7960526315789,5,239,2016-01-16,2016-01-28,2008-09-25,2015-05-22,NA,NA,NA,NA,1,13
"207","862",NA,1,0,0,83,87.4013157894737,6,205,2016-01-16,2016-04-08,2008-10-07,2015-06-25,NA,NA,NA,NA,1,84
"208","864",NA,1,0,0,89,86.8092105263158,6,48,2016-01-16,2016-04-14,2008-10-25,2015-11-29,NA,NA,NA,NA,1,90
"209","885",NA,0,0,0,89,96.6118421052632,5,143,2016-01-16,2016-04-14,2008-01-01,2015-08-26,NA,NA,NA,NA,1,90
"210","906",NA,1,0,0,20,82.9276315789474,5,181,2016-01-16,2016-02-05,2009-02-20,2015-07-19,NA,NA,NA,NA,1,21
"211","928",NA,1,0,0,89,80.0657894736842,4,150,2016-01-16,2016-04-14,2009-05-18,2015-08-19,NA,NA,NA,NA,1,90
"212","929",NA,0,0,0,65,80,4,283,2016-01-16,2016-03-21,2009-05-20,2015-04-08,NA,NA,NA,NA,1,66
"213","930",NA,1,0,0,76,80,4,300,2016-01-16,2016-04-01,2009-05-20,2015-03-22,NA,NA,NA,NA,1,77
"214","935",NA,0,0,0,9,79.6710526315789,4,185,2016-01-16,2016-01-25,2009-05-30,2015-07-15,NA,NA,NA,NA,1,10
"215","956",NA,1,0,0,63,78.9473684210526,5,2,2016-02-09,2016-04-14,2009-07-17,2016-02-09,NA,NA,NA,2016-02-09,25,90
"216","1166",NA,1,1,NA,63,55.0657894736842,3,2,2016-02-09,2016-02-12,2011-07-13,2016-02-09,2016-02-12,NA,3,2016-02-09,25,28
"217","1238",1,1,0,0,9,47.9605263157895,2,271,2016-01-16,2016-01-25,2012-01-19,2015-04-20,NA,NA,NA,NA,1,10
"218","969",NA,0,0,0,54,76.5131578947368,5,2,2016-02-18,2016-04-14,2009-10-08,2016-02-18,NA,NA,NA,2016-02-18,34,90
"219","974",NA,1,0,0,65,74.5394736842105,5,273,2016-01-16,2016-03-21,2009-11-02,2015-04-18,NA,NA,NA,NA,1,66
"220","979",NA,0,0,0,89,73.8815789473684,4,36,2016-01-16,2016-04-14,2009-11-22,2015-12-11,NA,NA,NA,NA,1,90
"221","985",NA,0,0,0,89,73.5197368421053,3,119,2016-01-16,2016-04-14,2009-12-03,2015-09-19,NA,NA,NA,NA,1,90
"222","987",NA,0,0,0,89,73.4210526315789,4,23,2016-01-16,2016-04-14,2009-12-06,2015-12-24,NA,NA,NA,NA,1,90
"223","992",NA,1,0,0,20,73.125,3,305,2016-01-16,2016-02-05,2009-12-15,2015-03-17,NA,NA,NA,NA,1,21
"224","993",NA,0,0,0,8,73.9802631578947,5,2,2016-02-09,2016-02-19,2009-12-15,2016-02-09,NA,NA,NA,2016-02-09,25,35
"225","995",NA,0,0,0,89,66.6118421052632,3,361,2016-01-16,2016-04-14,2010-07-01,2015-01-20,NA,NA,NA,NA,1,90
"226","996",NA,1,0,0,55,72.5657894736842,2,276,2016-01-16,2016-03-11,2010-01-01,2015-04-15,NA,NA,NA,NA,1,56
"227","1103",NA,0,0,0,55,60.5263157894737,3,2,2016-02-17,2016-04-14,2011-02-05,2016-02-17,NA,NA,NA,2016-02-17,33,90
"228","1104",NA,1,0,0,89,59.375,3,112,2016-01-16,2016-04-14,2011-02-06,2015-09-26,NA,NA,NA,NA,1,90
"229","1106",NA,1,0,0,48,60.6578947368421,3,2,2016-02-24,2016-04-14,2011-02-08,2016-02-24,NA,NA,NA,2016-02-24,40,90
"230","1107",NA,0,0,0,55,59.2434210526316,2,374,2016-01-16,2016-03-11,2011-02-10,2015-01-07,NA,NA,NA,NA,1,56
"231","1111",NA,0,0,0,89,58.8157894736842,3,8,2016-01-16,2016-04-14,2011-02-23,2016-01-08,NA,NA,NA,NA,1,90
"232","1116",NA,1,0,0,89,58.421052631579,3,181,2016-01-16,2016-04-14,2011-03-07,2015-07-19,NA,NA,NA,NA,1,90
"233","1122",NA,1,0,0,83,57.8947368421053,3,113,2016-01-16,2016-04-08,2011-03-23,2015-09-25,NA,NA,NA,NA,1,84
"234","1128",NA,1,0,0,89,57.796052631579,3,65,2016-01-16,2016-04-14,2011-03-26,2015-11-12,NA,NA,NA,NA,1,90
"235","1129",NA,0,0,0,89,57.6315789473684,3,23,2016-01-16,2016-04-14,2011-03-31,2015-12-24,NA,NA,NA,NA,1,90
"236","1138",NA,1,0,0,55,57.6644736842105,3,2,2016-02-17,2016-04-14,2011-05-03,2016-02-17,NA,NA,NA,2016-02-17,33,90
"237","1143",NA,0,0,0,27,56.1184210526316,2,272,2016-01-16,2016-02-12,2011-05-16,2015-04-19,NA,NA,NA,NA,1,28
"238","1148",NA,1,0,0,89,55.921052631579,2,170,2016-01-16,2016-04-14,2011-05-22,2015-07-30,NA,NA,NA,NA,1,90
"239","1153",NA,0,0,0,89,55.8881578947368,3,20,2016-01-16,2016-04-14,2011-05-23,2015-12-27,NA,NA,NA,NA,1,90
"240","1155",NA,0,0,0,42,57.2697368421053,3,2,2016-03-01,2016-04-14,2011-05-28,2016-03-01,NA,NA,NA,2016-03-01,46,90
"241","1156",NA,1,0,0,63,56.5789473684211,3,2,2016-02-09,2016-04-14,2011-05-28,2016-02-09,NA,NA,NA,2016-02-09,25,90
"242","1160",NA,1,0,0,89,55.1973684210526,3,63,2016-01-16,2016-04-14,2011-06-13,2015-11-14,NA,NA,NA,NA,1,90
"243","1162",NA,1,0,0,65,55.0328947368421,3,82,2016-01-16,2016-03-21,2011-06-18,2015-10-26,NA,NA,NA,NA,1,66
"244","1240",NA,1,1,NA,54,48.6842105263158,3,2,2016-02-18,2016-02-21,2012-02-01,2016-02-18,2016-02-21,NA,3,2016-02-18,34,37
"245","1165",NA,0,0,0,27,54.4407894736842,2,327,2016-01-16,2016-02-12,2011-07-06,2015-02-23,NA,NA,NA,NA,1,28
"246","1238",2,1,0,NA,30,49.9013157894737,3,0,2016-03-15,2016-04-14,2012-01-19,2016-03-15,NA,NA,NA,2016-03-15,60,90
"247","1168",NA,1,0,0,82,54.2763157894737,3,2,2016-01-21,2016-04-14,2011-07-18,2016-01-21,NA,NA,NA,2016-01-21,6,90
"248","1169",NA,0,0,0,89,53.9802631578947,3,99,2016-01-16,2016-04-14,2011-07-20,2015-10-09,NA,NA,NA,NA,1,90
"249","1170",NA,1,0,0,89,53.8815789473684,3,68,2016-01-16,2016-04-14,2011-07-23,2015-11-09,NA,NA,NA,NA,1,90
"250","1171",NA,0,0,0,76,53.75,2,353,2016-01-16,2016-04-01,2011-07-27,2015-01-28,NA,NA,NA,NA,1,77
"251","1172",NA,1,0,0,68,54.375,3,2,2016-02-04,2016-04-14,2011-07-29,2016-02-04,NA,NA,NA,2016-02-04,20,90
"252","1173",NA,0,0,0,89,53.5526315789474,3,31,2016-01-16,2016-04-14,2011-08-02,2015-12-16,NA,NA,NA,NA,1,90
"253","1174",NA,1,0,0,65,53.5526315789474,2,322,2016-01-16,2016-03-21,2011-08-02,2015-02-28,NA,NA,NA,NA,1,66
"254","1175",NA,0,0,0,89,48.5526315789474,2,254,2016-01-16,2016-04-14,2012-01-01,2015-05-07,NA,NA,NA,NA,1,90
"255","1176",NA,1,0,0,89,53.3223684210526,3,53,2016-01-16,2016-04-14,2011-08-09,2015-11-24,NA,NA,NA,NA,1,90
"256","1177",NA,0,0,0,76,48.5526315789474,2,286,2016-01-16,2016-04-01,2012-01-01,2015-04-05,NA,NA,NA,NA,1,77
"257","1178",NA,1,0,0,77,53.5855263157895,3,2,2016-01-26,2016-04-14,2011-08-13,2016-01-26,NA,NA,NA,2016-01-26,11,90
"258","1180",NA,1,0,0,55,53.0263157894737,2,283,2016-01-16,2016-03-11,2011-08-18,2015-04-08,NA,NA,NA,NA,1,56
"259","1181",NA,0,0,0,76,53.3552631578947,3,2,2016-01-27,2016-04-14,2011-08-21,2016-01-27,NA,NA,NA,2016-01-27,12,90
"260","1182",NA,1,0,0,89,52.9276315789474,3,31,2016-01-16,2016-04-14,2011-08-21,2015-12-16,NA,NA,NA,NA,1,90
"261","1183",NA,0,0,0,43,53.1578947368421,3,2,2016-01-26,2016-03-11,2011-08-26,2016-01-26,NA,NA,NA,2016-01-26,11,56
"262","1592",NA,1,1,NA,70,25.6578947368421,1,2,2016-02-02,2016-02-05,2013-12-16,2016-02-02,2016-02-05,NA,3,2016-02-02,18,21
"263","1249",2,0,0,NA,12,49.3421052631579,2,0,2016-04-02,2016-04-14,2012-02-23,2016-04-02,NA,NA,NA,2016-04-02,78,90
"264","1187",NA,0,0,0,89,52.4671052631579,2,206,2016-01-16,2016-04-14,2011-09-04,2015-06-24,NA,NA,NA,NA,1,90
"265","1189",NA,0,0,0,89,52.4342105263158,3,58,2016-01-16,2016-04-14,2011-09-05,2015-11-19,NA,NA,NA,NA,1,90
"266","1190",NA,1,0,0,89,52.4013157894737,3,76,2016-01-16,2016-04-14,2011-09-06,2015-11-01,NA,NA,NA,NA,1,90
"267","1197",NA,0,0,0,87,51.8092105263158,3,2,2016-01-16,2016-04-14,2011-09-26,2016-01-16,NA,NA,NA,NA,1,90
"268","1199",NA,0,0,0,41,51.5789473684211,2,353,2016-01-16,2016-02-26,2011-10-01,2015-01-28,NA,NA,NA,NA,1,42
"269","1200",NA,1,0,0,55,52.5657894736842,3,2,2016-02-17,2016-04-14,2011-10-05,2016-02-17,NA,NA,NA,2016-02-17,33,90
"270","1204",NA,1,0,0,89,50.9868421052632,3,23,2016-01-16,2016-04-14,2011-10-19,2015-12-24,NA,NA,NA,NA,1,90
"271","1205",NA,0,0,0,22,52.9276315789474,3,2,2016-03-21,2016-04-14,2011-10-27,2016-03-21,NA,NA,NA,2016-03-21,66,90
"272","1208",NA,1,0,0,38,51.9736842105263,3,2,2016-03-05,2016-04-14,2011-11-09,2016-03-05,NA,NA,NA,2016-03-05,50,90
"273","1210",NA,1,0,0,42,51.8092105263158,3,2,2016-03-01,2016-04-14,2011-11-10,2016-03-01,NA,NA,NA,2016-03-01,46,90
"274","1211",NA,0,0,0,89,49.7697368421053,3,8,2016-01-16,2016-04-14,2011-11-25,2016-01-08,NA,NA,NA,NA,1,90
"275","1214",NA,1,0,0,89,49.5723684210526,3,23,2016-01-16,2016-04-14,2011-12-01,2015-12-24,NA,NA,NA,NA,1,90
"276","1215",NA,0,0,0,89,49.4736842105263,2,271,2016-01-16,2016-04-14,2011-12-04,2015-04-20,NA,NA,NA,NA,1,90
"277","1218",NA,1,0,0,76,49.3421052631579,2,268,2016-01-16,2016-04-01,2011-12-08,2015-04-23,NA,NA,NA,NA,1,77
"278","1220",NA,1,0,0,66,49.0131578947368,3,233,2016-01-16,2016-03-22,2011-12-18,2015-05-28,NA,NA,NA,NA,1,67
"279","1221",NA,0,0,0,65,48.9802631578947,2,269,2016-01-16,2016-03-21,2011-12-19,2015-04-22,NA,NA,NA,NA,1,66
"280","1222",NA,1,0,0,38,50.6578947368421,3,2,2016-03-05,2016-04-14,2011-12-19,2016-03-05,NA,NA,NA,2016-03-05,50,90
"281","1225",NA,0,0,0,89,48.8157894736842,2,222,2016-01-16,2016-04-14,2011-12-24,2015-06-08,NA,NA,NA,NA,1,90
"282","1227",NA,0,0,0,33,50.3289473684211,3,2,2016-03-10,2016-04-14,2012-01-03,2016-03-10,NA,NA,NA,2016-03-10,55,90
"283","1228",NA,1,0,0,55,48.4868421052632,2,294,2016-01-16,2016-03-11,2012-01-03,2015-03-28,NA,NA,NA,NA,1,56
"284","1231",NA,0,0,0,89,48.3881578947368,2,275,2016-01-16,2016-04-14,2012-01-06,2015-04-16,NA,NA,NA,NA,1,90
"285","1235",NA,0,0,0,34,48.0921052631579,2,251,2016-01-16,2016-02-19,2012-01-15,2015-05-10,NA,NA,NA,NA,1,35
"286","1249",1,0,0,0,9,46.8092105263158,1,421,2016-01-16,2016-01-25,2012-02-23,2014-11-21,NA,NA,NA,NA,1,10
"287","1241",NA,0,0,0,73,47.9605263157895,3,2,2016-01-30,2016-04-14,2012-02-04,2016-01-30,NA,NA,NA,2016-01-30,15,90
"288","1243",NA,0,0,0,41,47.2368421052632,2,267,2016-01-16,2016-02-26,2012-02-10,2015-04-24,NA,NA,NA,NA,1,42
"289","1246",NA,1,0,0,27,46.9736842105263,2,281,2016-01-16,2016-02-12,2012-02-18,2015-04-10,NA,NA,NA,NA,1,28
"290","1297",2,0,0,NA,23,46.8092105263158,2,0,2016-03-22,2016-04-14,2012-04-29,2016-03-22,NA,NA,NA,2016-03-22,67,90
"291","1297",1,0,0,0,9,44.6381578947368,1,393,2016-01-16,2016-01-25,2012-04-29,2014-12-19,NA,NA,NA,NA,1,10
"292","1250",NA,1,0,0,89,46.8092105263158,2,165,2016-01-16,2016-04-14,2012-02-23,2015-08-04,NA,NA,NA,NA,1,90
"293","1251",NA,0,0,0,89,46.7763157894737,2,166,2016-01-16,2016-04-14,2012-02-24,2015-08-03,NA,NA,NA,NA,1,90
"294","1253",NA,0,0,0,89,46.5789473684211,2,95,2016-01-16,2016-04-14,2012-03-01,2015-10-13,NA,NA,NA,NA,1,90
"295","1255",NA,0,0,0,20,48.7828947368421,3,2,2016-03-23,2016-04-14,2012-03-03,2016-03-23,NA,NA,NA,2016-03-23,68,90
"296","1257",NA,0,0,0,89,46.2828947368421,2,108,2016-01-16,2016-04-14,2012-03-10,2015-09-30,NA,NA,NA,NA,1,90
"297","1262",NA,1,0,0,58,47.0065789473684,2,2,2016-02-14,2016-04-14,2012-03-19,2016-02-14,NA,NA,NA,2016-02-14,30,90
"298","1267",NA,0,0,0,89,45.625,2,70,2016-01-16,2016-04-14,2012-03-30,2015-11-07,NA,NA,NA,NA,1,90
"299","1268",NA,1,0,0,89,45.625,2,4,2016-01-16,2016-04-14,2012-03-30,2016-01-12,NA,NA,NA,NA,1,90
"300","1270",NA,1,0,0,52,46.7105263157895,2,2,2016-02-20,2016-04-14,2012-04-03,2016-02-20,NA,NA,NA,2016-02-20,36,90
"301","1272",NA,1,0,0,89,45.4276315789474,2,148,2016-01-16,2016-04-14,2012-04-05,2015-08-21,NA,NA,NA,NA,1,90
"302","1273",NA,0,0,0,89,45.3947368421053,2,40,2016-01-16,2016-04-14,2012-04-06,2015-12-07,NA,NA,NA,NA,1,90
"303","1275",NA,0,0,0,89,45.2631578947368,2,3,2016-01-16,2016-04-14,2012-04-10,2016-01-13,NA,NA,NA,NA,1,90
"304","1276",NA,1,0,0,89,45.1973684210526,2,70,2016-01-16,2016-04-14,2012-04-12,2015-11-07,NA,NA,NA,NA,1,90
"305","1282",NA,1,0,0,82,45.296052631579,2,2,2016-01-21,2016-04-14,2012-04-16,2016-01-21,NA,NA,NA,2016-01-21,6,90
"306","1283",NA,0,0,0,89,45.0657894736842,2,153,2016-01-16,2016-04-14,2012-04-16,2015-08-16,NA,NA,NA,NA,1,90
"307","1284",NA,1,0,0,89,45,2,147,2016-01-16,2016-04-14,2012-04-18,2015-08-22,NA,NA,NA,NA,1,90
"308","1288",NA,1,0,0,68,45.4934210526316,2,2,2016-02-04,2016-04-14,2012-04-24,2016-02-04,NA,NA,NA,2016-02-04,20,90
"309","1289",NA,0,0,0,45,46.25,2,2,2016-02-27,2016-04-14,2012-04-24,2016-02-27,NA,NA,NA,2016-02-27,43,90
"310","1290",NA,1,0,0,89,44.8026315789474,2,55,2016-01-16,2016-04-14,2012-04-24,2015-11-22,NA,NA,NA,NA,1,90
"311","1291",NA,0,0,0,89,44.7697368421053,2,58,2016-01-16,2016-04-14,2012-04-25,2015-11-19,NA,NA,NA,NA,1,90
"312","1292",NA,1,0,0,89,44.7697368421053,3,65,2016-01-16,2016-04-14,2012-04-25,2015-11-12,NA,NA,NA,NA,1,90
"313","1294",NA,1,0,0,89,44.7039473684211,2,122,2016-01-16,2016-04-14,2012-04-27,2015-09-16,NA,NA,NA,NA,1,90
"314","1356",1,1,0,0,27,41.0197368421053,1,347,2016-01-16,2016-02-12,2012-08-17,2015-02-03,NA,NA,NA,NA,1,28
"315","1356",2,1,0,NA,4,43.8157894736842,2,0,2016-04-10,2016-04-14,2012-08-17,2016-04-10,NA,NA,NA,2016-04-10,86,90
"316","1299",NA,0,0,0,89,44.5394736842105,2,123,2016-01-16,2016-04-14,2012-05-02,2015-09-15,NA,NA,NA,NA,1,90
"317","1301",NA,0,0,0,89,44.4736842105263,2,70,2016-01-16,2016-04-14,2012-05-04,2015-11-07,NA,NA,NA,NA,1,90
"318","1302",NA,1,0,0,89,44.375,2,53,2016-01-16,2016-04-14,2012-05-07,2015-11-24,NA,NA,NA,NA,1,90
"319","1303",NA,0,0,0,89,44.3421052631579,2,149,2016-01-16,2016-04-14,2012-05-08,2015-08-20,NA,NA,NA,NA,1,90
"320","1305",NA,0,0,0,89,44.3421052631579,2,183,2016-01-16,2016-04-14,2012-05-08,2015-07-17,NA,NA,NA,NA,1,90
"321","1307",NA,0,0,0,89,44.2105263157895,2,108,2016-01-16,2016-04-14,2012-05-12,2015-09-30,NA,NA,NA,NA,1,90
"322","1309",NA,0,0,0,60,43.9144736842105,2,2,2016-01-20,2016-03-22,2012-05-27,2016-01-20,NA,NA,NA,2016-01-20,5,67
"323","1312",NA,1,0,0,89,43.3881578947368,2,182,2016-01-16,2016-04-14,2012-06-06,2015-07-18,NA,NA,NA,NA,1,90
"324","1313",NA,0,0,0,89,43.3881578947368,1,355,2016-01-16,2016-04-14,2012-06-06,2015-01-26,NA,NA,NA,NA,1,90
"325","1314",NA,1,0,0,83,43.3881578947368,2,188,2016-01-16,2016-04-08,2012-06-06,2015-07-12,NA,NA,NA,NA,1,84
"326","1315",NA,0,0,0,89,43.2894736842105,2,93,2016-01-16,2016-04-14,2012-06-09,2015-10-15,NA,NA,NA,NA,1,90
"327","1316",NA,1,0,0,63,44.1447368421053,2,2,2016-02-09,2016-04-14,2012-06-09,2016-02-09,NA,NA,NA,2016-02-09,25,90
"328","1319",NA,0,0,0,89,43.0263157894737,2,13,2016-01-16,2016-04-14,2012-06-17,2016-01-03,NA,NA,NA,NA,1,90
"329","1327",NA,0,0,0,89,42.5,2,183,2016-01-16,2016-04-14,2012-07-03,2015-07-17,NA,NA,NA,NA,1,90
"330","1334",NA,1,0,0,55,42.9934210526316,2,2,2016-02-17,2016-04-14,2012-07-22,2016-02-17,NA,NA,NA,2016-02-17,33,90
"331","1335",NA,0,0,0,89,41.8421052631579,2,83,2016-01-16,2016-04-14,2012-07-23,2015-10-25,NA,NA,NA,NA,1,90
"332","1336",NA,1,0,0,70,42.3684210526316,2,2,2016-02-02,2016-04-14,2012-07-26,2016-02-02,NA,NA,NA,2016-02-02,18,90
"333","1337",NA,0,0,0,89,41.7105263157895,2,68,2016-01-16,2016-04-14,2012-07-27,2015-11-09,NA,NA,NA,NA,1,90
"334","1340",NA,1,0,0,76,36.9407894736842,2,2,2016-01-27,2016-04-14,2013-01-01,2016-01-27,NA,NA,NA,2016-01-27,12,90
"335","1342",NA,1,0,0,89,41.5789473684211,1,324,2016-01-16,2016-04-14,2012-07-31,2015-02-26,NA,NA,NA,NA,1,90
"336","1343",NA,0,0,0,41,41.5131578947368,1,329,2016-01-16,2016-02-26,2012-08-02,2015-02-21,NA,NA,NA,NA,1,42
"337","1344",NA,1,0,0,77,41.875,2,2,2016-01-26,2016-04-14,2012-08-03,2016-01-26,NA,NA,NA,2016-01-26,11,90
"338","1345",NA,0,0,0,89,41.5131578947368,2,13,2016-01-16,2016-04-14,2012-08-02,2016-01-03,NA,NA,NA,NA,1,90
"339","1348",NA,1,0,0,89,41.4802631578947,2,14,2016-01-16,2016-04-14,2012-08-03,2016-01-02,NA,NA,NA,NA,1,90
"340","1349",NA,0,0,0,89,41.5131578947368,2,19,2016-01-16,2016-04-14,2012-08-02,2015-12-28,NA,NA,NA,NA,1,90
"341","1351",NA,0,0,0,89,41.3157894736842,1,370,2016-01-16,2016-04-14,2012-08-08,2015-01-11,NA,NA,NA,NA,1,90
"342","1352",NA,1,0,0,89,41.3157894736842,2,26,2016-01-16,2016-04-14,2012-08-08,2015-12-21,NA,NA,NA,NA,1,90
"343","1354",NA,1,0,0,89,41.0526315789474,2,58,2016-01-16,2016-04-14,2012-08-16,2015-11-19,NA,NA,NA,NA,1,90
"344","1733",2,0,1,NA,30,68.5526315789474,4,0,2016-03-15,2016-03-25,2010-07-01,2016-03-15,2016-03-25,NA,NA,2016-03-15,60,70
"345","1733",1,0,0,0,9,66.6118421052632,3,273,2016-01-16,2016-01-25,2010-07-01,2015-04-18,NA,NA,NA,NA,1,10
"346","1356",NA,1,0,0,27,41.0197368421053,1,347,2016-01-16,2016-02-12,2012-08-17,2015-02-03,NA,NA,NA,NA,1,28
"347","1357",NA,0,0,0,89,41.0197368421053,2,64,2016-01-16,2016-04-14,2012-08-17,2015-11-13,NA,NA,NA,NA,1,90
"348","1358",NA,1,0,0,89,40.921052631579,2,8,2016-01-16,2016-04-14,2012-08-20,2016-01-08,NA,NA,NA,NA,1,90
"349","1360",NA,1,0,0,63,41.7105263157895,2,2,2016-02-09,2016-04-14,2012-08-22,2016-02-09,NA,NA,NA,2016-02-09,25,90
"350","1361",NA,0,0,0,89,40.8223684210526,3,52,2016-01-16,2016-04-14,2012-08-23,2015-11-25,NA,NA,NA,NA,1,90
"351","1362",NA,1,0,0,57,41.7763157894737,2,2,2016-02-15,2016-04-14,2012-08-26,2016-02-15,NA,NA,NA,2016-02-15,31,90
"352","1363",NA,0,0,0,70,41.1842105263158,2,2,2016-02-02,2016-04-14,2012-08-31,2016-02-02,NA,NA,NA,2016-02-02,18,90
"353","1365",NA,0,0,0,27,40.3289473684211,2,16,2016-01-16,2016-02-12,2012-09-07,2015-12-31,NA,NA,NA,NA,1,28
"354","1366",NA,1,0,0,89,40.296052631579,2,23,2016-01-16,2016-04-14,2012-09-08,2015-12-24,NA,NA,NA,NA,1,90
"355","1368",NA,1,0,0,82,40.4605263157895,2,2,2016-01-21,2016-04-14,2012-09-10,2016-01-21,NA,NA,NA,2016-01-21,6,90
"356","1369",NA,0,0,0,41,40.0986842105263,1,367,2016-01-16,2016-02-26,2012-09-14,2015-01-14,NA,NA,NA,NA,1,42
"357","1371",NA,0,0,0,89,40.0328947368421,2,23,2016-01-16,2016-04-14,2012-09-16,2015-12-24,NA,NA,NA,NA,1,90
"358","1372",NA,1,0,0,89,39.8026315789474,2,21,2016-01-16,2016-04-14,2012-09-23,2015-12-26,NA,NA,NA,NA,1,90
"359","1374",NA,1,0,0,72,39.9671052631579,2,2,2016-01-31,2016-04-14,2012-10-05,2016-01-31,NA,NA,NA,2016-01-31,16,90
"360","1377",NA,0,0,0,89,38.6184210526316,2,58,2016-01-16,2016-04-14,2012-10-29,2015-11-19,NA,NA,NA,NA,1,90
"361","1379",NA,0,0,0,82,38.7828947368421,2,2,2016-01-21,2016-04-14,2012-10-31,2016-01-21,NA,NA,NA,2016-01-21,6,90
"362","1381",NA,0,0,0,89,38.421052631579,2,63,2016-01-16,2016-04-14,2012-11-04,2015-11-14,NA,NA,NA,NA,1,90
"363","1382",NA,1,0,0,89,38.421052631579,1,154,2016-01-16,2016-04-14,2012-11-04,2015-08-15,NA,NA,NA,NA,1,90
"364","1384",NA,1,0,0,89,38.0592105263158,2,78,2016-01-16,2016-04-14,2012-11-15,2015-10-30,NA,NA,NA,NA,1,90
"365","1386",NA,1,0,0,83,38.0263157894737,2,200,2016-01-16,2016-04-08,2012-11-16,2015-06-30,NA,NA,NA,NA,1,84
"366","1773",2,0,0,NA,23,68.7828947368421,4,0,2016-03-22,2016-04-14,2010-07-01,2016-03-22,NA,NA,NA,2016-03-22,67,90
"367","1387",NA,0,0,0,89,37.6644736842105,1,158,2016-01-16,2016-04-14,2012-11-27,2015-08-11,NA,NA,NA,NA,1,90
"368","1391",NA,0,0,0,54,38.3881578947368,2,2,2016-02-18,2016-04-14,2012-12-10,2016-02-18,NA,NA,NA,2016-02-18,34,90
